"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";9,00;01-05-2018;03:07;"Gebyr";;110,00
"Overførsel";110,00;01-05-2018;03:07;"Udbetaling til konto";9,00;0,00
"Salg";25,00;01-05-2018;09:17;"";0,75;25,00
"Salg";5,00;01-05-2018;11:01;"";0,75;30,00
"Salg";13,00;01-05-2018;11:16;"";0,75;43,00
"Salg";14,00;01-05-2018;11:26;"";0,75;57,00
"Salg";5,00;01-05-2018;12:20;"";0,75;62,00
"Salg";15,00;01-05-2018;13:26;"";0,75;77,00
"Salg";14,00;01-05-2018;14:16;"";0,75;91,00
"Salg";10,00;01-05-2018;15:28;"";0,75;101,00
"Gebyr";6,00;02-05-2018;03:06;"Gebyr";;95,00
"Overførsel";95,00;02-05-2018;03:06;"Udbetaling til konto";6,00;0,00
"Salg";5,00;02-05-2018;15:02;"Yoghurt";0,75;5,00
"Salg";5,00;02-05-2018;16:50;"";0,75;10,00
"Salg";5,00;02-05-2018;18:28;"";0,75;15,00
"Salg";5,00;02-05-2018;18:28;"";0,75;20,00
"Gebyr";3,00;03-05-2018;03:06;"Gebyr";;17,00
"Overførsel";17,00;03-05-2018;03:06;"Udbetaling til konto";3,00;0,00
"Salg";10,00;03-05-2018;08:59;"";0,75;10,00
"Salg";10,00;03-05-2018;09:57;"";0,75;20,00
"Salg";4,00;03-05-2018;11:09;"";0,75;24,00
"Salg";3,00;03-05-2018;14:19;"";0,75;27,00
"Salg";10,00;03-05-2018;16:10;"";0,75;37,00
"Salg";10,00;03-05-2018;18:32;"";0,75;47,00
"Gebyr";4,50;04-05-2018;03:06;"Gebyr";;42,50
"Overførsel";42,50;04-05-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";10,00;04-05-2018;08:23;"";0,75;10,00
"Salg";10,00;04-05-2018;09:34;"";0,75;20,00
"Salg";10,00;04-05-2018;10:09;"";0,75;30,00
"Salg";10,00;04-05-2018;10:19;"";0,75;40,00
"Salg";10,00;04-05-2018;11:28;"";0,75;50,00
"Salg";10,00;04-05-2018;11:53;"";0,75;60,00
"Salg";14,00;04-05-2018;13:17;"";0,75;74,00
"Salg";14,00;04-05-2018;13:56;"";0,75;88,00
"Salg";14,00;04-05-2018;14:33;"";0,75;102,00
"Salg";14,00;04-05-2018;21:54;"";0,75;116,00
"Gebyr";7,50;05-05-2018;03:08;"Gebyr";;108,50
"Overførsel";108,50;05-05-2018;03:08;"Udbetaling til konto";7,50;0,00
"Salg";10,00;07-05-2018;08:49;"";0,75;10,00
"Salg";6,00;07-05-2018;12:14;"";0,75;16,00
"Salg";10,00;07-05-2018;14:10;"";0,75;26,00
"Salg";10,00;07-05-2018;14:30;"";0,75;36,00
"Salg";26,00;07-05-2018;17:11;"";0,75;62,00
"Gebyr";3,75;08-05-2018;03:06;"Gebyr";;58,25
"Overførsel";58,25;08-05-2018;03:06;"Udbetaling til konto";3,75;0,00
"Salg";8,00;08-05-2018;10:13;"";0,75;8,00
"Salg";36,00;08-05-2018;10:47;"";0,75;44,00
"Salg";3,00;08-05-2018;12:00;"";0,75;47,00
"Salg";10,00;08-05-2018;17:16;"";0,75;57,00
"Salg";4,50;08-05-2018;17:24;"";0,75;61,50
"Gebyr";3,75;09-05-2018;03:06;"Gebyr";;57,75
"Overførsel";57,75;09-05-2018;03:06;"Udbetaling til konto";3,75;0,00
"Salg";10,00;09-05-2018;08:15;"";0,75;10,00
"Salg";10,00;09-05-2018;14:38;"";0,75;20,00
"Salg";10,00;09-05-2018;14:40;"";0,75;30,00
"Salg";10,00;09-05-2018;15:59;"";0,75;40,00
"Salg";10,00;09-05-2018;16:04;"";0,75;50,00
"Salg";10,00;09-05-2018;16:20;"";0,75;60,00
"Salg";10,00;09-05-2018;17:39;"";0,75;70,00
"Salg";5,00;09-05-2018;18:38;"";0,75;75,00
"Salg";5,00;09-05-2018;18:44;"";0,75;80,00
"Gebyr";6,75;10-05-2018;03:06;"Gebyr";;73,25
"Overførsel";73,25;10-05-2018;03:06;"Udbetaling til konto";6,75;0,00
"Salg";10,00;10-05-2018;09:06;"";0,75;10,00
"Salg";10,00;10-05-2018;11:09;"";0,75;20,00
"Salg";15,00;10-05-2018;12:20;"";0,75;35,00
"Salg";5,00;10-05-2018;12:52;"";0,75;40,00
"Salg";5,00;10-05-2018;13:04;"";0,75;45,00
"Salg";10,00;10-05-2018;13:18;"";0,75;55,00
"Salg";10,00;10-05-2018;14:33;"";0,75;65,00
"Salg";10,00;10-05-2018;14:59;"";0,75;75,00
"Salg";20,00;10-05-2018;16:07;"";0,75;95,00
"Salg";4,00;10-05-2018;16:10;"";0,75;99,00
"Salg";10,00;10-05-2018;16:17;"";0,75;109,00
"Salg";19,00;10-05-2018;16:18;"";0,75;128,00
"Salg";14,00;10-05-2018;16:25;"";0,75;142,00
"Salg";14,00;10-05-2018;16:30;"";0,75;156,00
"Salg";5,00;10-05-2018;16:37;"";0,75;161,00
"Salg";5,00;10-05-2018;16:41;"";0,75;166,00
"Salg";5,00;10-05-2018;16:48;"";0,75;171,00
"Salg";10,00;10-05-2018;17:27;"";0,75;181,00
"Salg";7,00;10-05-2018;21:25;"";0,75;188,00
"Gebyr";14,25;11-05-2018;03:05;"Gebyr";;173,75
"Overførsel";173,75;11-05-2018;03:05;"Udbetaling til konto";14,25;0,00
"Salg";5,00;11-05-2018;07:08;"";0,75;5,00
"Salg";5,00;11-05-2018;09:40;"";0,75;10,00
"Salg";10,00;11-05-2018;10:19;"";0,75;20,00
"Salg";14,00;11-05-2018;10:40;"";0,75;34,00
"Salg";14,00;11-05-2018;11:01;"";0,75;48,00
"Salg";14,00;11-05-2018;11:02;"";0,75;62,00
"Salg";15,00;11-05-2018;11:15;"";0,75;77,00
"Salg";3,00;11-05-2018;11:42;"";0,75;80,00
"Salg";12,00;11-05-2018;12:55;"";0,75;92,00
"Gebyr";6,75;12-05-2018;03:05;"Gebyr";;85,25
"Overførsel";85,25;12-05-2018;03:05;"Udbetaling til konto";6,75;0,00
"Salg";3,00;13-05-2018;20:57;"Rugbrød";0,75;3,00
"Gebyr";0,75;14-05-2018;03:06;"Gebyr";;2,25
"Overførsel";2,25;14-05-2018;03:06;"Udbetaling til konto";0,75;0,00
"Salg";10,00;14-05-2018;08:25;"";0,75;10,00
"Salg";20,00;14-05-2018;08:52;"";0,75;30,00
"Salg";10,00;14-05-2018;12:39;"";0,75;40,00
"Salg";15,00;14-05-2018;12:45;"";0,75;55,00
"Salg";5,00;14-05-2018;13:17;"";0,75;60,00
"Salg";10,00;14-05-2018;13:46;"2x toast";0,75;70,00
"Salg";10,00;14-05-2018;13:57;"";0,75;80,00
"Salg";9,00;14-05-2018;14:03;"";0,75;89,00
"Salg";10,00;14-05-2018;14:30;"";0,75;99,00
"Salg";4,00;14-05-2018;15:38;"";0,75;103,00
"Salg";10,00;14-05-2018;15:43;"";0,75;113,00
"Salg";10,00;14-05-2018;17:04;"";0,75;123,00
"Salg";4,00;14-05-2018;17:52;"";0,75;127,00
"Salg";5,00;14-05-2018;17:53;"";0,75;132,00
"Salg";20,00;14-05-2018;18:09;"";0,75;152,00
"Salg";10,00;14-05-2018;18:14;"";0,75;162,00
"Gebyr";12,00;15-05-2018;04:34;"Gebyr";;150,00
"Overførsel";150,00;15-05-2018;04:34;"Udbetaling til konto";12,00;0,00
"Salg";20,00;15-05-2018;09:03;"";0,75;20,00
"Salg";15,00;15-05-2018;12:12;"Sodavand";0,75;35,00
"Salg";14,00;15-05-2018;13:21;"";0,75;49,00
"Salg";14,00;15-05-2018;14:25;"";0,75;63,00
"Salg";4,00;15-05-2018;15:06;"Frugt";0,75;67,00
"Salg";10,00;15-05-2018;15:51;"";0,75;77,00
"Salg";5,00;15-05-2018;16:08;"";0,75;82,00
"Salg";14,00;15-05-2018;16:45;"";0,75;96,00
"Salg";4,50;15-05-2018;17:03;"";0,75;100,50
"Salg";6,00;15-05-2018;22:11;"";0,75;106,50
"Salg";10,00;16-05-2018;00:36;"Yuggi";0,75;116,50
"Gebyr";8,25;16-05-2018;03:06;"Gebyr";;108,25
"Overførsel";108,25;16-05-2018;03:06;"Udbetaling til konto";8,25;0,00
"Salg";10,00;16-05-2018;08:12;"";0,75;10,00
"Salg";10,00;16-05-2018;08:17;"";0,75;20,00
"Salg";20,00;16-05-2018;12:25;"";0,75;40,00
"Gebyr";2,25;17-05-2018;03:06;"Gebyr";;37,75
"Overførsel";37,75;17-05-2018;03:06;"Udbetaling til konto";2,25;0,00
"Salg";10,00;17-05-2018;11:02;"";0,75;10,00
"Salg";5,00;17-05-2018;11:41;"";0,75;15,00
"Salg";6,00;17-05-2018;12:07;"";0,75;21,00
"Salg";5,00;17-05-2018;12:31;"Nudler";0,75;26,00
"Salg";20,00;17-05-2018;13:44;"";0,75;46,00
"Salg";3,00;17-05-2018;16:04;"";0,75;49,00
"Gebyr";4,50;18-05-2018;03:06;"Gebyr";;44,50
"Overførsel";44,50;18-05-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";3,00;19-05-2018;00:03;"";0,75;3,00
"Gebyr";0,75;19-05-2018;03:07;"Gebyr";;2,25
"Overførsel";2,25;19-05-2018;03:07;"Udbetaling til konto";0,75;0,00
"Salg";10,00;21-05-2018;09:02;"";0,75;10,00
"Salg";5,00;21-05-2018;11:27;"";0,75;15,00
"Salg";10,00;21-05-2018;12:05;"";0,75;25,00
"Salg";5,00;21-05-2018;12:05;"";0,75;30,00
"Salg";6,00;21-05-2018;12:28;"Toast";0,75;36,00
"Salg";13,00;21-05-2018;13:48;"";0,75;49,00
"Salg";14,00;21-05-2018;17:15;"";0,75;63,00
"Gebyr";5,25;22-05-2018;03:05;"Gebyr";;57,75
"Overførsel";57,75;22-05-2018;03:05;"Udbetaling til konto";5,25;0,00
"Salg";5,00;22-05-2018;11:45;"";0,75;5,00
"Salg";5,00;22-05-2018;13:40;"";0,75;10,00
"Salg";10,00;22-05-2018;15:49;"";0,75;20,00
"Salg";9,00;22-05-2018;16:48;"Rugbrødsmadder";0,75;29,00
"Salg";5,00;22-05-2018;18:54;"";0,75;34,00
"Salg";6,00;22-05-2018;20:03;"";0,75;40,00
"Gebyr";4,50;23-05-2018;03:06;"Gebyr";;35,50
"Overførsel";35,50;23-05-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";10,00;23-05-2018;13:12;"";0,75;10,00
"Salg";3,00;23-05-2018;13:22;"";0,75;13,00
"Salg";5,00;23-05-2018;15:18;"";0,75;18,00
"Salg";14,00;23-05-2018;15:20;"";0,75;32,00
"Salg";10,00;23-05-2018;16:16;"";0,75;42,00
"Salg";10,00;23-05-2018;17:04;"";0,75;52,00
"Gebyr";4,50;24-05-2018;03:06;"Gebyr";;47,50
"Overførsel";47,50;24-05-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";9,00;24-05-2018;11:49;"";0,75;9,00
"Salg";9,00;24-05-2018;11:53;"";0,75;18,00
"Salg";13,50;24-05-2018;12:07;"";0,75;31,50
"Salg";10,00;24-05-2018;12:21;"";0,75;41,50
"Salg";3,00;24-05-2018;13:06;"";0,75;44,50
"Salg";10,00;24-05-2018;14:10;"";0,75;54,50
"Salg";10,00;24-05-2018;14:18;"";0,75;64,50
"Salg";14,00;24-05-2018;15:05;"";0,75;78,50
"Salg";5,00;24-05-2018;15:05;"";0,75;83,50
"Salg";5,00;24-05-2018;15:31;"Toast";0,75;88,50
"Salg";14,00;24-05-2018;15:45;"";0,75;102,50
"Salg";10,00;24-05-2018;16:09;"";0,75;112,50
"Salg";10,00;24-05-2018;16:31;"";0,75;122,50
"Salg";14,00;24-05-2018;16:34;"";0,75;136,50
"Salg";14,00;24-05-2018;16:38;"";0,75;150,50
"Salg";5,00;24-05-2018;17:09;"";0,75;155,50
"Salg";14,00;24-05-2018;17:31;"";0,75;169,50
"Gebyr";12,75;25-05-2018;03:06;"Gebyr";;156,75
"Overførsel";156,75;25-05-2018;03:06;"Udbetaling til konto";12,75;0,00
"Salg";10,00;25-05-2018;08:32;"";0,75;10,00
"Salg";14,00;25-05-2018;10:03;"";0,75;24,00
"Salg";14,00;25-05-2018;10:14;"";0,75;38,00
"Salg";6,00;25-05-2018;14:32;"";0,75;44,00
"Salg";5,00;25-05-2018;14:47;"";0,75;49,00
"Salg";4,00;26-05-2018;01:14;"";0,75;53,00
"Gebyr";4,50;26-05-2018;03:06;"Gebyr";;48,50
"Overførsel";48,50;26-05-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";20,00;26-05-2018;04:07;"";0,75;20,00
"Salg";14,00;26-05-2018;13:07;"";0,75;34,00
"Salg";14,00;26-05-2018;14:11;"";0,75;48,00
"Salg";14,00;26-05-2018;14:25;"";0,75;62,00
"Salg";10,00;26-05-2018;16:11;"";0,75;72,00
"Gebyr";3,75;27-05-2018;03:06;"Gebyr";;68,25
"Overførsel";68,25;27-05-2018;03:06;"Udbetaling til konto";3,75;0,00
"Salg";10,00;27-05-2018;15:51;"";0,75;10,00
"Gebyr";0,75;28-05-2018;03:06;"Gebyr";;9,25
"Overførsel";9,25;28-05-2018;03:06;"Udbetaling til konto";0,75;0,00
"Salg";5,00;28-05-2018;08:02;"";0,75;5,00
"Salg";10,00;28-05-2018;10:53;"";0,75;15,00
"Salg";20,00;28-05-2018;12:11;"";0,75;35,00
"Salg";4,00;28-05-2018;12:21;"";0,75;39,00
"Salg";6,00;28-05-2018;12:27;"";0,75;45,00
"Salg";8,00;28-05-2018;12:42;"";0,75;53,00
"Salg";4,00;28-05-2018;13:02;"";0,75;57,00
"Salg";14,00;28-05-2018;14:12;"";0,75;71,00
"Salg";14,00;28-05-2018;15:47;"";0,75;85,00
"Salg";12,00;28-05-2018;16:42;"";0,75;97,00
"Salg";29,00;29-05-2018;00:06;"";0,75;126,00
"Gebyr";8,25;29-05-2018;03:06;"Gebyr";;117,75
"Overførsel";117,75;29-05-2018;03:06;"Udbetaling til konto";8,25;0,00
"Salg";10,00;29-05-2018;09:05;"";0,75;10,00
"Salg";10,00;29-05-2018;09:11;"";0,75;20,00
"Salg";5,00;29-05-2018;09:41;"";0,75;25,00
"Salg";9,00;29-05-2018;12:15;"";0,75;34,00
"Salg";29,00;29-05-2018;12:22;"";0,75;63,00
"Salg";16,00;29-05-2018;12:28;"";0,75;79,00
"Salg";14,00;29-05-2018;13:06;"";0,75;93,00
"Salg";10,00;29-05-2018;13:47;"";0,75;103,00
"Salg";14,00;29-05-2018;14:32;"";0,75;117,00
"Salg";10,00;29-05-2018;15:10;"";0,75;127,00
