"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Gebyr";5,25;01-06-2018;03:06;"Gebyr";;95,75
"Overførsel";95,75;01-06-2018;03:06;"Udbetaling til konto";5,25;0,00
"Salg";20,00;01-06-2018;09:16;"";0,75;20,00
"Salg";12,00;01-06-2018;15:50;"";0,75;32,00
"Salg";14,00;01-06-2018;15:51;"";0,75;46,00
"Salg";14,00;01-06-2018;16:26;"";0,75;60,00
"Salg";5,00;01-06-2018;21:35;"";0,75;65,00
"Salg";5,00;01-06-2018;22:54;"";0,75;70,00
"Gebyr";4,50;02-06-2018;03:06;"Gebyr";;65,50
"Overførsel";65,50;02-06-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";14,00;02-06-2018;16:34;"";0,75;14,00
"Salg";6,00;03-06-2018;01:36;"";0,75;20,00
"Gebyr";1,50;03-06-2018;03:05;"Gebyr";;18,50
"Overførsel";18,50;03-06-2018;03:05;"Udbetaling til konto";1,50;0,00
"Salg";14,00;03-06-2018;12:25;"";0,75;14,00
"Salg";3,00;03-06-2018;14:25;"";0,75;17,00
"Salg";13,00;03-06-2018;14:34;"";0,75;30,00
"Salg";10,00;03-06-2018;16:23;"";0,75;40,00
"Salg";13,00;03-06-2018;19:28;"";0,75;53,00
"Salg";13,00;04-06-2018;00:46;"";0,75;66,00
"Gebyr";4,50;04-06-2018;03:05;"Gebyr";;61,50
"Overførsel";61,50;04-06-2018;03:05;"Udbetaling til konto";4,50;0,00
"Salg";8,00;04-06-2018;16:30;"";0,75;8,00
"Salg";10,00;04-06-2018;23:12;"";0,75;18,00
"Gebyr";1,50;05-06-2018;03:06;"Gebyr";;16,50
"Overførsel";16,50;05-06-2018;03:06;"Udbetaling til konto";1,50;0,00
"Salg";10,00;05-06-2018;11:20;"";0,75;10,00
"Salg";5,00;05-06-2018;12:11;"";0,75;15,00
"Salg";5,00;05-06-2018;12:14;"";0,75;20,00
"Salg";10,00;05-06-2018;12:22;"";0,75;30,00
"Salg";14,00;05-06-2018;13:12;"Koldskål";0,75;44,00
"Salg";10,00;05-06-2018;13:13;"";0,75;54,00
"Salg";9,00;05-06-2018;13:13;"";0,75;63,00
"Salg";19,00;05-06-2018;13:44;"";0,75;82,00
"Salg";5,00;05-06-2018;13:44;"";0,75;87,00
"Salg";10,00;05-06-2018;13:47;"";0,75;97,00
"Salg";14,00;05-06-2018;14:02;"";0,75;111,00
"Salg";4,00;05-06-2018;14:21;"";0,75;115,00
"Salg";10,00;05-06-2018;16:15;"";0,75;125,00
"Salg";10,00;05-06-2018;16:18;"";0,75;135,00
"Salg";10,00;05-06-2018;16:22;"";0,75;145,00
"Salg";4,00;05-06-2018;17:01;"";0,75;149,00
"Salg";14,00;05-06-2018;19:21;"";0,75;163,00
"Salg";14,00;05-06-2018;19:37;"";0,75;177,00
"Salg";14,00;05-06-2018;20:43;"";0,75;191,00
"Salg";14,00;06-06-2018;00:42;"";0,75;205,00
"Gebyr";15,00;06-06-2018;03:05;"Gebyr";;190,00
"Overførsel";190,00;06-06-2018;03:05;"Udbetaling til konto";15,00;0,00
"Salg";8,00;06-06-2018;09:19;"";0,75;8,00
"Salg";14,00;06-06-2018;14:30;"";0,75;22,00
"Salg";10,00;06-06-2018;19:07;"";0,75;32,00
"Gebyr";2,25;07-06-2018;03:06;"Gebyr";;29,75
"Overførsel";29,75;07-06-2018;03:06;"Udbetaling til konto";2,25;0,00
"Salg";10,00;07-06-2018;10:28;"Tåst";0,75;10,00
"Salg";10,00;07-06-2018;16:22;"";0,75;20,00
"Salg";10,00;07-06-2018;17:02;"";0,75;30,00
"Salg";60,00;07-06-2018;18:37;"Øl";0,75;90,00
"Gebyr";3,00;08-06-2018;03:06;"Gebyr";;87,00
"Overførsel";87,00;08-06-2018;03:06;"Udbetaling til konto";3,00;0,00
"Salg";6,50;08-06-2018;14:18;"";0,75;6,50
"Gebyr";0,75;09-06-2018;03:06;"Gebyr";;5,75
"Overførsel";5,75;09-06-2018;03:06;"Udbetaling til konto";0,75;0,00
"Salg";10,00;09-06-2018;13:55;"";0,75;10,00
"Salg";10,00;09-06-2018;14:50;"";0,75;20,00
"Gebyr";1,50;10-06-2018;03:06;"Gebyr";;18,50
"Overførsel";18,50;10-06-2018;03:06;"Udbetaling til konto";1,50;0,00
"Salg";5,00;10-06-2018;09:49;"";0,75;5,00
"Gebyr";0,75;11-06-2018;03:05;"Gebyr";;4,25
"Overførsel";4,25;11-06-2018;03:05;"Udbetaling til konto";0,75;0,00
"Salg";14,00;11-06-2018;13:19;"";0,75;14,00
"Salg";10,00;11-06-2018;13:24;"";0,75;24,00
"Salg";14,00;11-06-2018;16:03;"";0,75;38,00
"Salg";5,00;11-06-2018;16:05;"";0,75;43,00
"Salg";14,00;11-06-2018;16:06;"";0,75;57,00
"Salg";14,00;11-06-2018;18:09;"";0,75;71,00
"Gebyr";4,50;12-06-2018;03:06;"Gebyr";;66,50
"Overførsel";66,50;12-06-2018;03:06;"Udbetaling til konto";4,50;0,00
"Salg";14,00;12-06-2018;11:34;"";0,75;14,00
"Salg";5,00;12-06-2018;19:06;"";0,75;19,00
"Salg";5,00;12-06-2018;19:33;"";0,75;24,00
"Salg";10,00;12-06-2018;19:35;"";0,75;34,00
"Gebyr";3,00;13-06-2018;03:07;"Gebyr";;31,00
"Overførsel";31,00;13-06-2018;03:07;"Udbetaling til konto";3,00;0,00
"Salg";5,00;13-06-2018;10:32;"";0,75;5,00
"Salg";50,00;13-06-2018;19:11;"";0,75;55,00
"Gebyr";1,50;14-06-2018;03:06;"Gebyr";;53,50
"Overførsel";53,50;14-06-2018;03:06;"Udbetaling til konto";1,50;0,00
"Salg";10,00;14-06-2018;13:22;"";0,75;10,00
"Salg";14,00;14-06-2018;14:41;"";0,75;24,00
"Salg";12,00;14-06-2018;15:38;"";0,75;36,00
"Salg";9,00;14-06-2018;15:39;"";0,75;45,00
"Salg";10,00;14-06-2018;18:57;"";0,75;55,00
"Salg";5,00;14-06-2018;19:26;"";0,75;60,00
"Salg";5,00;14-06-2018;22:54;"";0,75;65,00
"Salg";5,00;14-06-2018;23:04;"";0,75;70,00
"Salg";5,00;15-06-2018;00:35;"";0,75;75,00
"Gebyr";6,75;15-06-2018;03:06;"Gebyr";;68,25
"Overførsel";68,25;15-06-2018;03:06;"Udbetaling til konto";6,75;0,00
"Salg";5,00;15-06-2018;04:33;"";0,75;5,00
"Salg";5,00;15-06-2018;13:16;"";0,75;10,00
"Salg";10,00;15-06-2018;19:13;"";0,75;20,00
"Gebyr";2,25;16-06-2018;03:06;"Gebyr";;17,75
"Overførsel";17,75;16-06-2018;03:06;"Udbetaling til konto";2,25;0,00
"Salg";10,00;18-06-2018;15:47;"";0,75;10,00
"Salg";10,00;18-06-2018;15:51;"";0,75;20,00
"Gebyr";1,50;19-06-2018;03:07;"Gebyr";;18,50
"Overførsel";18,50;19-06-2018;03:07;"Udbetaling til konto";1,50;0,00
"Salg";5,00;19-06-2018;09:41;"";0,75;5,00
"Salg";14,00;19-06-2018;10:45;"";0,75;19,00
"Salg";10,00;19-06-2018;11:38;"";0,75;29,00
"Salg";10,00;19-06-2018;13:48;"";0,75;39,00
"Salg";5,00;19-06-2018;15:02;"";0,75;44,00
"Salg";5,00;19-06-2018;16:38;"";0,75;49,00
"Salg";10,00;19-06-2018;19:49;"";0,75;59,00
"Salg";5,00;20-06-2018;01:44;"";0,75;64,00
"Gebyr";6,00;20-06-2018;03:07;"Gebyr";;58,00
"Overførsel";58,00;20-06-2018;03:07;"Udbetaling til konto";6,00;0,00
"Salg";4,00;21-06-2018;15:30;"";0,75;4,00
"Salg";10,00;21-06-2018;19:50;"Yuggi";0,75;14,00
"Salg";1,50;21-06-2018;19:53;"Rugbrød";0,75;15,50
"Salg";20,00;22-06-2018;00:28;"";0,75;35,50
"Salg";15,00;22-06-2018;01:15;"";0,75;50,50
"Gebyr";3,75;22-06-2018;03:07;"Gebyr";;46,75
"Overførsel";46,75;22-06-2018;03:07;"Udbetaling til konto";3,75;0,00
"Salg";84,00;23-06-2018;01:57;"Øl";0,75;84,00
"Gebyr";0,75;23-06-2018;03:07;"Gebyr";;83,25
"Overførsel";83,25;23-06-2018;03:07;"Udbetaling til konto";0,75;0,00
"Salg";10,00;26-06-2018;16:51;"";0,75;10,00
"Gebyr";0,75;27-06-2018;03:07;"Gebyr";;9,25
"Overførsel";9,25;27-06-2018;03:07;"Udbetaling til konto";0,75;0,00
"Salg";3,00;27-06-2018;08:56;"";0,75;3,00
"Salg";14,00;27-06-2018;10:16;"";0,75;17,00
"Salg";60,00;27-06-2018;15:48;"Øl";0,75;77,00
"Gebyr";2,25;28-06-2018;03:07;"Gebyr";;74,75
"Overførsel";74,75;28-06-2018;03:07;"Udbetaling til konto";2,25;0,00
"Salg";6,00;30-06-2018;03:49;"";0,75;6,00
