kind,amount,dt,msg,fee,balance,category
Gebyr,675,01.12.2018 03:03,Gebyr,,46825,Gebyrer
Overførsel,46825,01.12.2018 03:03,Udbetaling til konto,675,0,Overførsel
Salg,1400,01.12.2018 12:24,,75,1400,Buffet
Salg,1400,01.12.2018 13:36,,75,2800,Buffet
Salg,1400,01.12.2018 20:06,,75,4200,Buffet
Gebyr,225,02.12.2018 03:04,Gebyr,,3975,Gebyrer
Overførsel,3975,02.12.2018 03:04,Udbetaling til konto,225,0,Overførsel
Salg,1500,02.12.2018 10:48,,75,1500,Buffet
Salg,1400,02.12.2018 18:39,,75,2900,Buffet
Gebyr,150,03.12.2018 03:04,Gebyr,,2750,Gebyrer
Overførsel,2750,03.12.2018 03:04,Udbetaling til konto,150,0,Overførsel
Salg,1500,03.12.2018 06:33,Kata,75,1500,Buffet
Salg,600,03.12.2018 12:59,,75,2100,Buffet
Salg,1500,03.12.2018 13:15,,75,3600,Buffet
Salg,1000,03.12.2018 13:18,,75,4600,Buffet
Salg,2000,03.12.2018 13:28,,75,6600,Buffet
Salg,3000,03.12.2018 13:28,,75,9600,Buffet
Salg,1400,03.12.2018 13:41,,75,11000,Buffet
Salg,1000,03.12.2018 14:32,,75,12000,Buffet
Salg,600,03.12.2018 15:00,,75,12600,Buffet
Salg,1100,03.12.2018 15:01,,75,13700,Buffet
Salg,1000,03.12.2018 15:34,,75,14700,Buffet
Salg,600,03.12.2018 16:32,,75,15300,Buffet
Salg,500,03.12.2018 16:39,,75,15800,Buffet
Salg,400,03.12.2018 17:05,,75,16200,Buffet
Salg,600,03.12.2018 17:10,,75,16800,Buffet
Salg,500,03.12.2018 17:23,,75,17300,Buffet
Salg,1450,03.12.2018 17:43,,75,18750,Buffet
Salg,500,03.12.2018 18:31,,75,19250,Buffet
Salg,1000,03.12.2018 18:34,,75,20250,Buffet
Salg,1400,03.12.2018 19:08,,75,21650,Buffet
Salg,400,03.12.2018 19:49,,75,22050,Buffet
Salg,600,03.12.2018 19:59,,75,22650,Buffet
Salg,20000,03.12.2018 20:47,Julefrokost,75,42650,Julefrokost billetsalg
Salg,1400,03.12.2018 21:18,,75,44050,Buffet
Gebyr,1800,04.12.2018 03:04,Gebyr,,42250,Gebyrer
Overførsel,42250,04.12.2018 03:04,Udbetaling til konto,1800,0,Overførsel
Salg,1400,04.12.2018 10:10,,75,1400,Buffet
Salg,2000,04.12.2018 12:13,,75,3400,Buffet
Salg,500,04.12.2018 13:08,,75,3900,Buffet
