kind,amount,dt,msg,fee,category
Salg,2000,01.04.2019 08:21,,60,Buffet
Salg,1000,01.04.2019 15:32,Tååååååååååååst x2,60,Buffet
Gebyr,-120,01.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,2880,01.04.2019 23:59,Udbetaling til konto,120,Overførsel
Salg,1000,02.04.2019 11:50,,60,Buffet
Salg,1000,02.04.2019 13:19,,60,Buffet
Salg,1000,02.04.2019 15:28,,60,Buffet
Salg,1300,02.04.2019 16:36,,60,Buffet
Gebyr,-240,02.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,4060,02.04.2019 23:59,Udbetaling til konto,240,Overførsel
Salg,1200,03.04.2019 11:27,,60,Buffet
Salg,1200,03.04.2019 17:14,,60,Buffet
Salg,300,03.04.2019 19:10,,60,Buffet
Salg,450,03.04.2019 19:25,,60,Buffet
Gebyr,-240,03.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,2910,03.04.2019 23:59,Udbetaling til konto,240,Overførsel
Salg,1000,04.04.2019 14:26,,60,Buffet
Salg,2400,04.04.2019 15:47,Øl,60,Øl & Vand
Salg,600,04.04.2019 16:39,,60,Buffet
Salg,1800,04.04.2019 19:56,,60,Buffet
Gebyr,-240,04.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,5560,04.04.2019 23:59,Udbetaling til konto,240,Overførsel
Salg,300,05.04.2019 13:48,,60,Buffet
Gebyr,-60,05.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,240,05.04.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,500,16.04.2019 11:36,,60,Buffet
Gebyr,-60,16.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,440,16.04.2019 23:59,Udbetaling til konto,60,Overførsel
Salg,500,17.04.2019 13:28,,60,Buffet
Salg,1400,17.04.2019 19:13,,60,Buffet
Salg,4200,17.04.2019 21:25,,60,Buffet
Gebyr,-180,17.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,5920,17.04.2019 23:59,Udbetaling til konto,180,Overførsel
Salg,1300,23.04.2019 10:56,,60,Buffet
Salg,1500,23.04.2019 10:59,,60,Buffet
Salg,800,23.04.2019 11:14,,60,Buffet
Salg,1800,23.04.2019 12:10,,60,Buffet
Salg,1100,23.04.2019 12:41,,60,Buffet
Salg,800,23.04.2019 13:56,,60,Buffet
Salg,500,23.04.2019 14:28,,60,Buffet
Salg,800,23.04.2019 15:09,,60,Buffet
Salg,500,23.04.2019 19:18,,60,Buffet
Salg,500,23.04.2019 19:19,,60,Buffet
Salg,500,23.04.2019 19:19,,60,Buffet
Gebyr,-660,23.04.2019 23:59,Gebyr,,Gebyrer
Overførsel,9440,23.04.2019 23:59,Udbetaling til konto,660,Overførsel
Salg,1000,24.04.2019 07:46,,60,Buffet
Salg,1000,24.04.2019 10:03,Towst,60,Buffet
Salg,1500,24.04.2019 10:22,,60,Buffet
Salg,1600,24.04.2019 11:40,,60,Buffet
Salg,800,24.04.2019 11:54,,60,Buffet
Salg,900,24.04.2019 12:09,,60,Buffet
Salg,800,24.04.2019 12:20,,60,Buffet
Salg,600,24.04.2019 13:09,,60,Buffet
Salg,800,24.04.2019 13:27,,60,Buffet
