"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";
"Salg";13,00;01-05-2019;09:34;"";0,60;
"Salg";10,00;01-05-2019;10:57;"Tåst";0,60;
"Salg";13,00;01-05-2019;11:06;"";0,60;
"Salg";10,00;01-05-2019;12:10;"";0,60;
"Salg";13,00;01-05-2019;12:11;"";0,60;
"Salg";15,00;01-05-2019;12:19;"";0,60;
"Salg";6,00;01-05-2019;15:22;"";0,60;
"Salg";12,00;01-05-2019;15:48;"";0,60;
"Salg";20,00;01-05-2019;17:45;"";0,60;
"Gebyr";-5,40;01-05-2019;23:59;"Gebyr";;
"Overførsel";106,60;01-05-2019;23:59;"Udbetaling til konto";5,40;
"Salg";5,00;02-05-2019;10:33;"";0,60;
"Salg";5,00;02-05-2019;10:33;"Toast";0,60;
"Salg";10,00;02-05-2019;10:33;"";0,60;
"Salg";10,00;02-05-2019;10:34;"";0,60;
"Salg";18,00;02-05-2019;10:52;"";0,60;
"Salg";5,00;02-05-2019;12:07;"";0,60;
"Salg";8,00;02-05-2019;12:07;"";0,60;
"Salg";10,00;02-05-2019;13:21;"";0,60;
"Salg";10,00;02-05-2019;14:25;"";0,60;
"Salg";6,00;02-05-2019;15:40;"";0,60;
"Salg";10,00;02-05-2019;15:48;"";0,60;
"Salg";12,00;02-05-2019;15:54;"";0,60;
"Salg";30,00;02-05-2019;15:56;"";0,60;
"Salg";2,00;02-05-2019;16:28;"";0,60;
"Salg";2,00;02-05-2019;18:07;"";0,60;
"Gebyr";-9,00;02-05-2019;23:59;"Gebyr";;
"Overførsel";134,00;02-05-2019;23:59;"Udbetaling til konto";9,00;
"Salg";5,00;03-05-2019;09:54;"";0,60;
"Salg";15,00;03-05-2019;11:43;"";0,60;
"Salg";8,00;03-05-2019;13:53;"";0,60;
"Salg";16,00;03-05-2019;13:53;"Snit snit";0,60;
"Salg";8,00;03-05-2019;13:54;"";0,60;
"Salg";5,00;03-05-2019;14:23;"Banan";0,60;
"Salg";6,00;03-05-2019;14:55;"";0,60;
"Salg";14,00;03-05-2019;15:22;"";0,60;
"Salg";13,00;03-05-2019;16:14;"";0,60;
"Salg";13,00;03-05-2019;16:43;"";0,60;
"Gebyr";-6,00;03-05-2019;23:59;"Gebyr";;
"Overførsel";97,00;03-05-2019;23:59;"Udbetaling til konto";6,00;
"Salg";5,00;04-05-2019;13:31;"3xtoastbrød med pålægschokolade";0,60;
"Salg";29,00;04-05-2019;17:10;"";0,60;
"Salg";14,00;04-05-2019;18:01;"";0,60;
"Gebyr";-1,80;04-05-2019;23:59;"Gebyr";;
"Overførsel";46,20;04-05-2019;23:59;"Udbetaling til konto";1,80;
"Salg";12,00;06-05-2019;08:59;"";0,60;
"Salg";5,00;06-05-2019;11:56;"";0,60;
"Salg";5,00;06-05-2019;12:04;"";0,60;
"Salg";15,00;06-05-2019;12:11;"";0,60;
"Salg";6,00;06-05-2019;12:33;"";0,60;
"Salg";18,00;06-05-2019;13:39;"";0,60;
"Salg";4,00;06-05-2019;14:00;"";0,60;
"Salg";14,00;06-05-2019;14:03;"";0,60;
"Salg";14,00;06-05-2019;14:07;"";0,60;
"Salg";14,00;06-05-2019;14:07;"";0,60;
"Salg";15,00;06-05-2019;15:07;"";0,60;
"Salg";14,00;06-05-2019;15:10;"";0,60;
"Salg";18,00;06-05-2019;16:22;"";0,60;
"Salg";8,00;06-05-2019;16:27;"";0,60;
"Salg";10,00;06-05-2019;16:30;"";0,60;
"Salg";3,00;06-05-2019;16:34;"";0,60;
"Salg";58,00;06-05-2019;21:48;"";0,60;
"Gebyr";-10,20;06-05-2019;23:59;"Gebyr";;
"Overførsel";222,80;06-05-2019;23:59;"Udbetaling til konto";10,20;
"Salg";8,00;07-05-2019;10:07;"";0,60;
"Salg";10,00;07-05-2019;11:22;"";0,60;
"Salg";5,00;07-05-2019;12:07;"";0,60;
"Salg";7,00;07-05-2019;12:17;"";0,60;
"Salg";6,00;07-05-2019;12:19;"";0,60;
"Salg";12,00;07-05-2019;12:19;"";0,60;
"Salg";12,00;07-05-2019;12:38;"";0,60;
"Salg";8,00;07-05-2019;12:49;"";0,60;
"Salg";14,00;07-05-2019;12:50;"";0,60;
"Salg";6,00;07-05-2019;13:02;"";0,60;
"Salg";8,00;07-05-2019;13:22;"";0,60;
"Salg";8,00;07-05-2019;14:15;"";0,60;
"Salg";40,00;07-05-2019;14:25;"";0,60;
"Salg";8,00;07-05-2019;15:01;"";0,60;
"Salg";16,00;07-05-2019;15:02;"";0,60;
"Salg";8,00;07-05-2019;15:06;"";0,60;
"Salg";8,00;07-05-2019;15:11;"";0,60;
"Salg";5,00;07-05-2019;15:18;"";0,60;
"Salg";10,00;07-05-2019;15:20;"";0,60;
"Salg";8,00;07-05-2019;17:03;"";0,60;
"Gebyr";-12,00;07-05-2019;23:59;"Gebyr";;
"Overførsel";195,00;07-05-2019;23:59;"Udbetaling til konto";12,00;
"Salg";10,00;08-05-2019;08:04;"";0,60;
