"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";5,50;05-02-2018;14:06;"";0,60;5,50
"Salg";5,50;05-02-2018;16:08;"";0,60;11,00
"Salg";18,00;05-02-2018;16:15;"";0,60;29,00
"Gebyr";1,80;06-02-2018;03:04;"Gebyr";;27,20
"Overførsel";27,20;06-02-2018;03:04;"Udbetaling til konto";1,80;0,00
"Salg";10,00;06-02-2018;11:06;"";0,60;10,00
"Salg";5,00;06-02-2018;11:07;"";0,60;15,00
"Salg";5,00;06-02-2018;11:07;"";0,60;20,00
"Salg";10,00;06-02-2018;11:10;"";0,60;30,00
"Salg";3,00;06-02-2018;12:23;"";0,60;33,00
"Gebyr";3,00;07-02-2018;03:04;"Gebyr";;30,00
"Overførsel";30,00;07-02-2018;03:04;"Udbetaling til konto";3,00;0,00
"Salg";3,00;12-02-2018;13:25;"";0,60;3,00
"Gebyr";0,60;13-02-2018;03:04;"Gebyr";;2,40
"Overførsel";2,40;13-02-2018;03:04;"Udbetaling til konto";0,60;0,00
"Salg";16,00;13-02-2018;14:50;"Gifler";0,60;16,00
"Gebyr";0,60;14-02-2018;03:06;"Gebyr";;15,40
"Overførsel";15,40;14-02-2018;03:06;"Udbetaling til konto";0,60;0,00
"Salg";3,00;20-02-2018;13:51;"";0,60;3,00
"Salg";50,00;20-02-2018;13:51;"";0,60;53,00
"Gebyr";1,20;21-02-2018;03:06;"Gebyr";;51,80
"Overførsel";51,80;21-02-2018;03:06;"Udbetaling til konto";1,20;0,00
"Salg";3,00;21-02-2018;19:44;"";0,60;3,00
"Salg";3,00;21-02-2018;21:48;"";0,60;6,00
"Gebyr";1,20;22-02-2018;03:06;"Gebyr";;4,80
"Overførsel";4,80;22-02-2018;03:06;"Udbetaling til konto";1,20;0,00
"Salg";36,00;24-02-2018;00:36;"";0,60;36,00
"Gebyr";0,60;24-02-2018;03:04;"Gebyr";;35,40
"Overførsel";35,40;24-02-2018;03:04;"Udbetaling til konto";0,60;0,00
"Salg";3,00;28-02-2018;17:57;"";0,60;3,00
